Tariff Item,Harmonized System (HS) Heading,Indicative Description,code    subgroup,,stage
8513.10.10,"Portable electric lamps designed to function by their own source of energy (for example, dry batteries, accumulators, magnetos), other than lighting equipment of heading 85.12.",Lamps: Flashlights; Miners' safety lamps,851310,10,2
8513.10.90,"Portable electric lamps designed to function by their own source of energy (for example, dry batteries, accumulators, magnetos), other than lighting equipment of heading 85.12.",Lamps: Other,851310,90,2
8513.90.10,"Portable electric lamps designed to function by their own source of energy (for example, dry batteries, accumulators, magnetos), other than lighting equipment of heading 85.12.",Parts: Of flashlights and miners' safety lamps,851390,10,2
8513.90.90,"Portable electric lamps designed to function by their own source of energy (for example, dry batteries, accumulators, magnetos), other than lighting equipment of heading 85.12.",Parts: Other,851390,90,2
8514.90.00,Industrial or laboratory electric furnaces and ovens (including those functioning by induction or dielectric loss); other industrial or laboratory equipment for the heat treatment of materials by induction or dielectric loss.,Parts,851490,00,2
8515.11.00,"Electric (including electrically heated gas), laser or other light or photon beam, ultrasonic, electron beam, magnetic pulse or plasma arc soldering, brazing or welding machines and apparatus, whether or not capable of cutting; electric machines and apparatus for hot spraying of metals or cermets.",Brazing or soldering machines and apparatus: Soldering irons and guns,851511,00,2
8516.10.10,"Electric instantaneous or storage water heaters and immersion heaters; electric space heating apparatus and soil heating apparatus; electro-thermic hair-dressing apparatus (for example, hair dryers, hair curlers, curling tong heaters) and hand dryers; electric smoothing irons; other electro-thermic appliances of a kind used for domestic purposes; electric heating resistors, other than those of heading 85.45.",Electric instantaneous or storage water heaters and immersion heaters: Immersion heaters for photographic solutions,851610,10,2
8516.10.20,"Electric instantaneous or storage water heaters and immersion heaters; electric space heating apparatus and soil heating apparatus; electro-thermic hair-dressing apparatus (for example, hair dryers, hair curlers, curling tong heaters) and hand dryers; electric smoothing irons; other electro-thermic appliances of a kind used for domestic purposes; electric heating resistors, other than those of heading 85.45.",Electric instantaneous or storage water heaters and immersion heaters: Immersion heaters for use in motor vehicles,851610,20,2
8516.10.90,"Electric instantaneous or storage water heaters and immersion heaters; electric space heating apparatus and soil heating apparatus; electro-thermic hair-dressing apparatus (for example, hair dryers, hair curlers, curling tong heaters) and hand dryers; electric smoothing irons; other electro-thermic appliances of a kind used for domestic purposes; electric heating resistors, other than those of heading 85.45.",Electric instantaneous or storage water heaters and immersion heaters: Other,851610,90,2
8516.21.00,"Electric instantaneous or storage water heaters and immersion heaters; electric space heating apparatus and soil heating apparatus; electro-thermic hair-dressing apparatus (for example, hair dryers, hair curlers, curling tong heaters) and hand dryers; electric smoothing irons; other electro-thermic appliances of a kind used for domestic purposes; electric heating resistors, other than those of heading 85.45.",Electric space heating apparatus and electric soil heating apparatus: Storage heating radiators,851621,00,2
8516.29.00,"Electric instantaneous or storage water heaters and immersion heaters; electric space heating apparatus and soil heating apparatus; electro-thermic hair-dressing apparatus (for example, hair dryers, hair curlers, curling tong heaters) and hand dryers; electric smoothing irons; other electro-thermic appliances of a kind used for domestic purposes; electric heating resistors, other than those of heading 85.45.",Electric space heating apparatus and electric soil heating apparatus: Other,851629,00,2
8516.33.90,"Electric instantaneous or storage water heaters and immersion heaters; electric space heating apparatus and soil heating apparatus; electro-thermic hair-dressing apparatus (for example, hair dryers, hair curlers, curling tong heaters) and hand dryers; electric smoothing irons; other electro-thermic appliances of a kind used for domestic purposes; electric heating resistors, other than those of heading 85.45.",Electro-thermic hair-dressing or hand-drying apparatus: Hand-drying apparatus: Other,851633,90,2
8516.90.10,"Electric instantaneous or storage water heaters and immersion heaters; electric space heating apparatus and soil heating apparatus; electro-thermic hair-dressing apparatus (for example, hair dryers, hair curlers, curling tong heaters) and hand dryers; electric smoothing irons; other electro-thermic appliances of a kind used for domestic purposes; electric heating resistors, other than those of heading 85.45.",Parts: Housings for hand-drying apparatus,851690,10,2
8516.90.20,"Electric instantaneous or storage water heaters and immersion heaters; electric space heating apparatus and soil heating apparatus; electro-thermic hair-dressing apparatus (for example, hair dryers, hair curlers, curling tong heaters) and hand dryers; electric smoothing irons; other electro-thermic appliances of a kind used for domestic purposes; electric heating resistors, other than those of heading 85.45.",Parts: Housings and steel bases for electric smoothing irons,851690,20,2
8516.90.30,"Electric instantaneous or storage water heaters and immersion heaters; electric space heating apparatus and soil heating apparatus; electro-thermic hair-dressing apparatus (for example, hair dryers, hair curlers, curling tong heaters) and hand dryers; electric smoothing irons; other electro-thermic appliances of a kind used for domestic purposes; electric heating resistors, other than those of heading 85.45.","Parts: Assemblies for microwave ovens, incorporating at least two of the following: cooking chamber, space structural supporting chassis, door or outer case",851690,30,2
8516.90.40,"Electric instantaneous or storage water heaters and immersion heaters; electric space heating apparatus and soil heating apparatus; electro-thermic hair-dressing apparatus (for example, hair dryers, hair curlers, curling tong heaters) and hand dryers; electric smoothing irons; other electro-thermic appliances of a kind used for domestic purposes; electric heating resistors, other than those of heading 85.45.",Parts: Printed circuit assemblies for microwave ovens,851690,40,2
8516.90.50,"Electric instantaneous or storage water heaters and immersion heaters; electric space heating apparatus and soil heating apparatus; electro-thermic hair-dressing apparatus (for example, hair dryers, hair curlers, curling tong heaters) and hand dryers; electric smoothing irons; other electro-thermic appliances of a kind used for domestic purposes; electric heating resistors, other than those of heading 85.45.","Parts: Cooking chambers, whether or not assembled, for ovens or cookers",851690,50,2
8516.90.60,"Electric instantaneous or storage water heaters and immersion heaters; electric space heating apparatus and soil heating apparatus; electro-thermic hair-dressing apparatus (for example, hair dryers, hair curlers, curling tong heaters) and hand dryers; electric smoothing irons; other electro-thermic appliances of a kind used for domestic purposes; electric heating resistors, other than those of heading 85.45.","Parts: Top surface panels, whether or not with heating elements or controls, for ovens or cookers",851690,60,2
8516.90.70,"Electric instantaneous or storage water heaters and immersion heaters; electric space heating apparatus and soil heating apparatus; electro-thermic hair-dressing apparatus (for example, hair dryers, hair curlers, curling tong heaters) and hand dryers; electric smoothing irons; other electro-thermic appliances of a kind used for domestic purposes; electric heating resistors, other than those of heading 85.45.","Parts: Door assemblies, for ovens or cookers, incorporating at least two of the following: inner panel, outer panel, window or insulation",851690,70,2
8516.90.81,"Electric instantaneous or storage water heaters and immersion heaters; electric space heating apparatus and soil heating apparatus; electro-thermic hair-dressing apparatus (for example, hair dryers, hair curlers, curling tong heaters) and hand dryers; electric smoothing irons; other electro-thermic appliances of a kind used for domestic purposes; electric heating resistors, other than those of heading 85.45.",Parts: Housings for toasters: For automatic toasters,851690,81,2
8516.90.82,"Electric instantaneous or storage water heaters and immersion heaters; electric space heating apparatus and soil heating apparatus; electro-thermic hair-dressing apparatus (for example, hair dryers, hair curlers, curling tong heaters) and hand dryers; electric smoothing irons; other electro-thermic appliances of a kind used for domestic purposes; electric heating resistors, other than those of heading 85.45.",Parts: Housings for toasters: For other toasters,851690,82,2
8516.90.90,"Electric instantaneous or storage water heaters and immersion heaters; electric space heating apparatus and soil heating apparatus; electro-thermic hair-dressing apparatus (for example, hair dryers, hair curlers, curling tong heaters) and hand dryers; electric smoothing irons; other electro-thermic appliances of a kind used for domestic purposes; electric heating resistors, other than those of heading 85.45.",Parts: Other,851690,90,2
8517.11.00,"Telephone sets, including smartphones and other telephones for cellular networks or for other wireless networks; other apparatus for the transmission or reception of voice, images or other data, including apparatus for communication in a wired or wireless network (such as a local or wide area network), other than transmission or reception apparatus of heading 84.43, 85.25, 85.27 or 85.28.","Telephone sets, including smartphones and other telephones for cellular networks or for other wireless networks: Line telephone sets with cordless handsets",851711,00,2
8517.13.00,"Telephone sets, including smartphones and other telephones for cellular networks or for other wireless networks; other apparatus for the transmission or reception of voice, images or other data, including apparatus for communication in a wired or wireless network (such as a local or wide area network), other than transmission or reception apparatus of heading 84.43, 85.25, 85.27 or 85.28.","Telephone sets, including smartphones and other telephones for cellular networks or for other wireless networks: Smartphones: Smartphones",851713,00,2
8517.14.00,"Telephone sets, including smartphones and other telephones for cellular networks or for other wireless networks; other apparatus for the transmission or reception of voice, images or other data, including apparatus for communication in a wired or wireless network (such as a local or wide area network), other than transmission or reception apparatus of heading 84.43, 85.25, 85.27 or 85.28.","Telephone sets, including smartphones and other telephones for cellular networks or for other wireless networks: Other telephones for cellular networks or for other wireless networks: Other telephones for cellular networks or for other wireless networks",851714,00,2
8517.18.00,"Telephone sets, including smartphones and other telephones for cellular networks or for other wireless networks; other apparatus for the transmission or reception of voice, images or other data, including apparatus for communication in a wired or wireless network (such as a local or wide area network), other than transmission or reception apparatus of heading 84.43, 85.25, 85.27 or 85.28.","Telephone sets, including smartphones and other telephones for cellular networks or for other wireless networks: Other",851718,00,2
8517.61.00,"Telephone sets, including smartphones and other telephones for cellular networks or for other wireless networks; other apparatus for the transmission or reception of voice, images or other data, including apparatus for communication in a wired or wireless network (such as a local or wide area network), other than transmission or reception apparatus of heading 84.43, 85.25, 85.27 or 85.28.","Other apparatus for transmission or reception of voice, images or other data, including apparatus for communication in a wired or wireless network (such as a local or wide area network): Base stations",851761,00,2
8517.62.00,"Telephone sets, including smartphones and other telephones for cellular networks or for other wireless networks; other apparatus for the transmission or reception of voice, images or other data, including apparatus for communication in a wired or wireless network (such as a local or wide area network), other than transmission or reception apparatus of heading 84.43, 85.25, 85.27 or 85.28.","Other apparatus for transmission or reception of voice, images or other data, including apparatus for communication in a wired or wireless network (such as a local or wide area network): Machines for the reception, conversion and transmission or regeneration of voice, images or other data, including switching and routing apparatus",851762,00,2
8517.69.00,"Telephone sets, including smartphones and other telephones for cellular networks or for other wireless networks; other apparatus for the transmission or reception of voice, images or other data, including apparatus for communication in a wired or wireless network (such as a local or wide area network), other than transmission or reception apparatus of heading 84.43, 85.25, 85.27 or 85.28.","Other apparatus for transmission or reception of voice, images or other data, including apparatus for communication in a wired or wireless network (such as a local or wide area network): Other",851769,00,2
8517.71.00,"Telephone sets, including smartphones and other telephones for cellular networks or for other wireless networks; other apparatus for the transmission or reception of voice, images or other data, including apparatus for communication in a wired or wireless network (such as a local or wide area network), other than transmission or reception apparatus of heading 84.43, 85.25, 85.27 or 85.28.",Parts: Aerials and aerial reflectors of all kinds; parts suitable for use therewith: Aerials and aerial reflectors of all kinds; parts suitable for use therewith,851771,00,2
8517.79.00,"Telephone sets, including smartphones and other telephones for cellular networks or for other wireless networks; other apparatus for the transmission or reception of voice, images or other data, including apparatus for communication in a wired or wireless network (such as a local or wide area network), other than transmission or reception apparatus of heading 84.43, 85.25, 85.27 or 85.28.",Parts: Other: Other,851779,00,2
8518.10.00,"Microphones and stands therefor; loudspeakers, whether or not mounted in their enclosures; headphones and earphones, whether or not combined with a microphone, and sets consisting of a microphone and one or more loudspeakers; audio-frequency electric amplifiers; electric sound amplifier sets.",Microphones and stands therefor,851810,00,2
8518.21.00,"Microphones and stands therefor; loudspeakers, whether or not mounted in their enclosures; headphones and earphones, whether or not combined with a microphone, and sets consisting of a microphone and one or more loudspeakers; audio-frequency electric amplifiers; electric sound amplifier sets.","Loudspeakers, whether or not mounted in their enclosures: Single loudspeakers, mounted in their enclosures",851821,00,2
8518.22.00,"Microphones and stands therefor; loudspeakers, whether or not mounted in their enclosures; headphones and earphones, whether or not combined with a microphone, and sets consisting of a microphone and one or more loudspeakers; audio-frequency electric amplifiers; electric sound amplifier sets.","Loudspeakers, whether or not mounted in their enclosures: Multiple loudspeakers, mounted in the same enclosure",851822,00,2
8518.29.00,"Microphones and stands therefor; loudspeakers, whether or not mounted in their enclosures; headphones and earphones, whether or not combined with a microphone, and sets consisting of a microphone and one or more loudspeakers; audio-frequency electric amplifiers; electric sound amplifier sets.","Loudspeakers, whether or not mounted in their enclosures: Other",851829,00,2
8518.30.10,"Microphones and stands therefor; loudspeakers, whether or not mounted in their enclosures; headphones and earphones, whether or not combined with a microphone, and sets consisting of a microphone and one or more loudspeakers; audio-frequency electric amplifiers; electric sound amplifier sets.","Headphones and earphones, whether or not combined with a microphone, and sets consisting of a microphone and one or more loudspeakers: Telephone handsets",851830,10,2
8518.30.90,"Microphones and stands therefor; loudspeakers, whether or not mounted in their enclosures; headphones and earphones, whether or not combined with a microphone, and sets consisting of a microphone and one or more loudspeakers; audio-frequency electric amplifiers; electric sound amplifier sets.","Headphones and earphones, whether or not combined with a microphone, and sets consisting of a microphone and one or more loudspeakers: Other",851830,90,2
8518.40.00,"Microphones and stands therefor; loudspeakers, whether or not mounted in their enclosures; headphones and earphones, whether or not combined with a microphone, and sets consisting of a microphone and one or more loudspeakers; audio-frequency electric amplifiers; electric sound amplifier sets.",Audio-frequency electric amplifiers,851840,00,2
8518.50.00,"Microphones and stands therefor; loudspeakers, whether or not mounted in their enclosures; headphones and earphones, whether or not combined with a microphone, and sets consisting of a microphone and one or more loudspeakers; audio-frequency electric amplifiers; electric sound amplifier sets.",Electric sound amplifier sets,851850,00,2
8518.90.00,"Microphones and stands therefor; loudspeakers, whether or not mounted in their enclosures; headphones and earphones, whether or not combined with a microphone, and sets consisting of a microphone and one or more loudspeakers; audio-frequency electric amplifiers; electric sound amplifier sets.",Parts,851890,00,2
8519.20.10,Sound recording or reproducing apparatus.,"Apparatus operated by coins, banknotes, bank cards, tokens or by other means of payment: Coin- or token-operated record-players",851920,10,2
8519.20.90,Sound recording or reproducing apparatus.,"Apparatus operated by coins, banknotes, bank cards, tokens or by other means of payment: Other",851920,90,2
8519.30.10,Sound recording or reproducing apparatus.,Turntables (record-decks): With automatic record changing mechanism,851930,10,2
8519.30.90,Sound recording or reproducing apparatus.,Turntables (record-decks): Other,851930,90,2
8519.81.00,Sound recording or reproducing apparatus.,"Other apparatus: Using magnetic, optical or semiconductor media",851981,00,2
8519.89.00,Sound recording or reproducing apparatus.,Other apparatus: Other,851989,00,2
8521.10.00,"Video recording or reproducing apparatus, whether or not incorporating a video tuner.",Magnetic tape-type,852110,00,2
8521.90.00,"Video recording or reproducing apparatus, whether or not incorporating a video tuner.",Other,852190,00,2
8522.10.00,Parts and accessories suitable for use solely or principally with the apparatus of heading 85.19 or 85.21.,Pick-up cartridges,852210,00,2
8522.90.10,Parts and accessories suitable for use solely or principally with the apparatus of heading 85.19 or 85.21.,Other: Printed circuit assemblies,852290,10,2
8522.90.90,Parts and accessories suitable for use solely or principally with the apparatus of heading 85.19 or 85.21.,Other: Other,852290,90,2
8523.21.10,"Discs, tapes, solid-state non-volatile storage devices, ""smart cards"" and other media for the recording of sound or of other phenomena, whether or not recorded, including matrices and masters for the production of discs, but excluding products of Chapter 37.",Magnetic media: Cards incorporating a magnetic stripe: Cards incorporating an unrecorded magnetic stripe,852321,10,2
8523.21.20,"Discs, tapes, solid-state non-volatile storage devices, ""smart cards"" and other media for the recording of sound or of other phenomena, whether or not recorded, including matrices and masters for the production of discs, but excluding products of Chapter 37.",Magnetic media: Cards incorporating a magnetic stripe: Cards incorporating a recorded magnetic stripe,852321,20,2
8523.29.00,"Discs, tapes, solid-state non-volatile storage devices, ""smart cards"" and other media for the recording of sound or of other phenomena, whether or not recorded, including matrices and masters for the production of discs, but excluding products of Chapter 37.",Magnetic media: Other,852329,00,2
8523.41.00,"Discs, tapes, solid-state non-volatile storage devices, ""smart cards"" and other media for the recording of sound or of other phenomena, whether or not recorded, including matrices and masters for the production of discs, but excluding products of Chapter 37.",Optical media: Unrecorded,852341,00,2
8523.49.00,"Discs, tapes, solid-state non-volatile storage devices, ""smart cards"" and other media for the recording of sound or of other phenomena, whether or not recorded, including matrices and masters for the production of discs, but excluding products of Chapter 37.",Optical media: Other,852349,00,2
8523.51.00,"Discs, tapes, solid-state non-volatile storage devices, ""smart cards"" and other media for the recording of sound or of other phenomena, whether or not recorded, including matrices and masters for the production of discs, but excluding products of Chapter 37.",Semiconductor media: Solid-state non-volatile storage devices,852351,00,2
8523.52.00,"Discs, tapes, solid-state non-volatile storage devices, ""smart cards"" and other media for the recording of sound or of other phenomena, whether or not recorded, including matrices and masters for the production of discs, but excluding products of Chapter 37.","Semiconductor media: ""Smart cards""",852352,00,2
8523.59.00,"Discs, tapes, solid-state non-volatile storage devices, ""smart cards"" and other media for the recording of sound or of other phenomena, whether or not recorded, including matrices and masters for the production of discs, but excluding products of Chapter 37.",Semiconductor media: Other,852359,00,2
8523.80.00,"Discs, tapes, solid-state non-volatile storage devices, ""smart cards"" and other media for the recording of sound or of other phenomena, whether or not recorded, including matrices and masters for the production of discs, but excluding products of Chapter 37.",Other,852380,00,2
8524.11.10,"Flat panel display modules, whether or not incorporating touch-sensitive screens.",Without drivers or control circuits: Of liquid crystals: For motor vehicles of headings 87.01 to 87.05,852411,10,2
8524.11.20,"Flat panel display modules, whether or not incorporating touch-sensitive screens.",Without drivers or control circuits: Of liquid crystals: Replacement parts other than those used in goods of tariff item No. 8509.40.90 or 8509.80.90,852411,20,2
8524.11.90,"Flat panel display modules, whether or not incorporating touch-sensitive screens.",Without drivers or control circuits: Of liquid crystals: Other,852411,90,2
8524.12.10,"Flat panel display modules, whether or not incorporating touch-sensitive screens.",Without drivers or control circuits: Of organic light-emitting diodes (OLED): For motor vehicles of headings 87.01 to 87.05,852412,10,2
8524.12.20,"Flat panel display modules, whether or not incorporating touch-sensitive screens.",Without drivers or control circuits: Of organic light-emitting diodes (OLED): Replacement parts other than those used in goods of tariff item No. 8509.40.90 or 8509.80.90,852412,20,2
8524.12.90,"Flat panel display modules, whether or not incorporating touch-sensitive screens.",Without drivers or control circuits: Of organic light-emitting diodes (OLED): Other,852412,90,2
8524.19.10,"Flat panel display modules, whether or not incorporating touch-sensitive screens.",Without drivers or control circuits: Other: For motor vehicles of headings 87.01 to 87.05,852419,10,2
8524.19.20,"Flat panel display modules, whether or not incorporating touch-sensitive screens.",Without drivers or control circuits: Other: Replacement parts other than those used in goods of tariff item No. 8509.40.90 or 8509.80.90,852419,20,2
8524.19.90,"Flat panel display modules, whether or not incorporating touch-sensitive screens.",Without drivers or control circuits: Other: Other,852419,90,2
8524.91.10,"Flat panel display modules, whether or not incorporating touch-sensitive screens.",Other: Of liquid crystals: For motor vehicles of headings 87.01 to 87.05,852491,10,2
8524.91.20,"Flat panel display modules, whether or not incorporating touch-sensitive screens.",Other: Of liquid crystals: Replacement parts other than those used in goods of tariff item No. 8509.40.90 or 8509.80.90,852491,20,2
8524.91.90,"Flat panel display modules, whether or not incorporating touch-sensitive screens.",Other: Of liquid crystals: Other,852491,90,2
8524.92.10,"Flat panel display modules, whether or not incorporating touch-sensitive screens.",Other: Of organic light-emitting diodes (OLED): For motor vehicles of headings 87.01 to 87.05,852492,10,2
8524.92.20,"Flat panel display modules, whether or not incorporating touch-sensitive screens.",Other: Of organic light-emitting diodes (OLED): Replacement parts other than those used in goods of tariff item No. 8509.40.90 or 8509.80.90,852492,20,2
8524.92.90,"Flat panel display modules, whether or not incorporating touch-sensitive screens.",Other: Of organic light-emitting diodes (OLED): Other,852492,90,2
8524.99.10,"Flat panel display modules, whether or not incorporating touch-sensitive screens.",Other: Other: For motor vehicles of headings 87.01 to 87.05,852499,10,2
8524.99.20,"Flat panel display modules, whether or not incorporating touch-sensitive screens.",Other: Other: Replacement parts other than those used in goods of tariff item No. 8509.40.90 or 8509.80.90,852499,20,2
8524.99.90,"Flat panel display modules, whether or not incorporating touch-sensitive screens.",Other: Other: Other,852499,90,2
8525.50.00,"Transmission apparatus for radio-broadcasting or television, whether or not incorporating reception apparatus or sound recording or reproducing apparatus; television cameras, digital cameras and video camera recorders.",Transmission apparatus,852550,00,2
8525.60.00,"Transmission apparatus for radio-broadcasting or television, whether or not incorporating reception apparatus or sound recording or reproducing apparatus; television cameras, digital cameras and video camera recorders.",Transmission apparatus incorporating reception apparatus,852560,00,2
8525.81.00,"Transmission apparatus for radio-broadcasting or television, whether or not incorporating reception apparatus or sound recording or reproducing apparatus; television cameras, digital cameras and video camera recorders.","Television cameras, digital cameras and video camera recorders: High-speed goods as specified in Subheading Note 1 to this Chapter: High-speed goods as specified in Subheading Note 1 to this Chapter",852581,00,2
8525.82.00,"Transmission apparatus for radio-broadcasting or television, whether or not incorporating reception apparatus or sound recording or reproducing apparatus; television cameras, digital cameras and video camera recorders.","Television cameras, digital cameras and video camera recorders: Other, radiation-hardened or radiation-tolerant goods as specified in Subheading Note 2 to this Chapter: Other, radiation-hardened or radiation-tolerant goods as specified in Subheading Note 2 to this Chapter",852582,00,2
8525.83.00,"Transmission apparatus for radio-broadcasting or television, whether or not incorporating reception apparatus or sound recording or reproducing apparatus; television cameras, digital cameras and video camera recorders.","Television cameras, digital cameras and video camera recorders: Other, night vision goods as specified in Subheading Note 3 to this Chapter: Other, night vision goods as specified in Subheading Note 3 to this Chapter",852583,00,2
8526.10.00,"Radar apparatus, radio navigational aid apparatus and radio remote control apparatus.",Radar apparatus,852610,00,2
8526.91.00,"Radar apparatus, radio navigational aid apparatus and radio remote control apparatus.",Other: Radio navigational aid apparatus,852691,00,2
8526.92.00,"Radar apparatus, radio navigational aid apparatus and radio remote control apparatus.",Other: Radio remote control apparatus,852692,00,2
8527.12.00,"Reception apparatus for radio-broadcasting, whether or not combined, in the same housing, with sound recording or reproducing apparatus or a clock.",Radio-broadcast receivers capable of operating without an external source of power: Pocket-size radio cassette-players,852712,00,2
8527.13.00,"Reception apparatus for radio-broadcasting, whether or not combined, in the same housing, with sound recording or reproducing apparatus or a clock.",Radio-broadcast receivers capable of operating without an external source of power: Other apparatus combined with sound recording or reproducing apparatus,852713,00,2
8527.19.00,"Reception apparatus for radio-broadcasting, whether or not combined, in the same housing, with sound recording or reproducing apparatus or a clock.",Radio-broadcast receivers capable of operating without an external source of power: Other,852719,00,2
8527.21.00,"Reception apparatus for radio-broadcasting, whether or not combined, in the same housing, with sound recording or reproducing apparatus or a clock.","Radio-broadcast receivers not capable of operating without an external source of power, of a kind used in motor vehicles: Combined with sound recording or reproducing apparatus",852721,00,2
8527.29.00,"Reception apparatus for radio-broadcasting, whether or not combined, in the same housing, with sound recording or reproducing apparatus or a clock.","Radio-broadcast receivers not capable of operating without an external source of power, of a kind used in motor vehicles: Other",852729,00,2
8527.91.00,"Reception apparatus for radio-broadcasting, whether or not combined, in the same housing, with sound recording or reproducing apparatus or a clock.",Other: Combined with sound recording or reproducing apparatus,852791,00,2
8527.92.00,"Reception apparatus for radio-broadcasting, whether or not combined, in the same housing, with sound recording or reproducing apparatus or a clock.",Other: Not combined with sound recording or reproducing apparatus but combined with a clock,852792,00,2
8527.99.00,"Reception apparatus for radio-broadcasting, whether or not combined, in the same housing, with sound recording or reproducing apparatus or a clock.",Other: Other,852799,00,2
8528.42.00,"Monitors and projectors, not incorporating television reception apparatus; reception apparatus for television, whether or not incorporating radio-broadcast receivers or sound or video recording or reproducing apparatus.",Cathode-ray tube monitors: Capable of directly connecting to and designed for use with an automatic data processing machine of heading 84.71,852842,00,2
8528.49.00,"Monitors and projectors, not incorporating television reception apparatus; reception apparatus for television, whether or not incorporating radio-broadcast receivers or sound or video recording or reproducing apparatus.",Cathode-ray tube monitors: Other,852849,00,2
8528.52.00,"Monitors and projectors, not incorporating television reception apparatus; reception apparatus for television, whether or not incorporating radio-broadcast receivers or sound or video recording or reproducing apparatus.",Other monitors: Capable of directly connecting to and designed for use with an automatic data processing machine of heading 84.71,852852,00,2
8528.59.11,"Monitors and projectors, not incorporating television reception apparatus; reception apparatus for television, whether or not incorporating radio-broadcast receivers or sound or video recording or reproducing apparatus.",Other monitors: Other: For use in the manufacture of lightwave transmission systems: High definition,852859,11,2
8528.59.19,"Monitors and projectors, not incorporating television reception apparatus; reception apparatus for television, whether or not incorporating radio-broadcast receivers or sound or video recording or reproducing apparatus.",Other monitors: Other: For use in the manufacture of lightwave transmission systems: Other,852859,19,2
8528.59.20,"Monitors and projectors, not incorporating television reception apparatus; reception apparatus for television, whether or not incorporating radio-broadcast receivers or sound or video recording or reproducing apparatus.",Other monitors: Other: Black and white or other monochrome,852859,20,2
8528.59.30,"Monitors and projectors, not incorporating television reception apparatus; reception apparatus for television, whether or not incorporating radio-broadcast receivers or sound or video recording or reproducing apparatus.","Other monitors: Other: Incomplete or unfinished colour monitors, including assemblies for monitors consisting of video intermeidate (IF) amplifying and detecting systems, video processing and amplification systems, synchronizing and deflection circuitry and audio detection and amplification systems plus a power supply, but not incorporating a flat panel screen or similar display; Other, having a single picture tube intended for direct viewing (non-projection type); Other, with flat panel screen",852859,30,2
8528.59.90,"Monitors and projectors, not incorporating television reception apparatus; reception apparatus for television, whether or not incorporating radio-broadcast receivers or sound or video recording or reproducing apparatus.",Other monitors: Other: Other,852859,90,2
8528.62.00,"Monitors and projectors, not incorporating television reception apparatus; reception apparatus for television, whether or not incorporating radio-broadcast receivers or sound or video recording or reproducing apparatus.",Projectors: Capable of directly connecting to and designed for use with an automatic data processing machine of heading 84.71,852862,00,2
8528.69.11,"Monitors and projectors, not incorporating television reception apparatus; reception apparatus for television, whether or not incorporating radio-broadcast receivers or sound or video recording or reproducing apparatus.","Projectors: Other: Colour, with flat panel screen: Capable of being used with both automatic data processing machines of heading 84.71 and with apparatus which emits television signals",852869,11,2
8528.69.19,"Monitors and projectors, not incorporating television reception apparatus; reception apparatus for television, whether or not incorporating radio-broadcast receivers or sound or video recording or reproducing apparatus.","Projectors: Other: Colour, with flat panel screen: Other",852869,19,2
8528.69.20,"Monitors and projectors, not incorporating television reception apparatus; reception apparatus for television, whether or not incorporating radio-broadcast receivers or sound or video recording or reproducing apparatus.","Projectors: Other: Incomplete or unfinished colour pojectors, including assemblies for projectors consisting of video intermediate (IF) amplifying and detecting systems, video processing and amplification systems, synchronizing and deflection circuitry and audio detection and amplification systems plus a power supply, but not incorporating a cathode-ray tube, flat panel screen or similar display; Colour, other",852869,20,2
8528.69.30,"Monitors and projectors, not incorporating television reception apparatus; reception apparatus for television, whether or not incorporating radio-broadcast receivers or sound or video recording or reproducing apparatus.",Projectors: Other: Black and white or other monochrome,852869,30,2
8528.71.00,"Monitors and projectors, not incorporating television reception apparatus; reception apparatus for television, whether or not incorporating radio-broadcast receivers or sound or video recording or reproducing apparatus.","Reception apparatus for television, whether or not incorporating radio-broadcast receivers or sound or video recording or reproducing apparatus: Not designed to incorporate a video display or screen",852871,00,2
8528.72.10,"Monitors and projectors, not incorporating television reception apparatus; reception apparatus for television, whether or not incorporating radio-broadcast receivers or sound or video recording or reproducing apparatus.","Reception apparatus for television, whether or not incorporating radio-broadcast receivers or sound or video recording or reproducing apparatus: Other, colour: Set-top boxes which have a communication function: a microprocessor-based device incorporating a modem for gaining access to the Internet, and having a function of interactive information exchange",852872,10,2
8528.72.20,"Monitors and projectors, not incorporating television reception apparatus; reception apparatus for television, whether or not incorporating radio-broadcast receivers or sound or video recording or reproducing apparatus.","Reception apparatus for television, whether or not incorporating radio-broadcast receivers or sound or video recording or reproducing apparatus: Other, colour: Incomplete or unfinished television receivers, including assemblies for television receivers consisting of video intermediate (IF) amplifying and detecting systems, video processing and amplification systems, synchronizing and deflection circuitry, tuners and tuner control systems, and audio detection and amplification systems plus a power supply, but not incorporating a cathode-ray tube, flat panel screen or similar display",852872,20,2
8528.72.31,"Monitors and projectors, not incorporating television reception apparatus; reception apparatus for television, whether or not incorporating radio-broadcast receivers or sound or video recording or reproducing apparatus.","Reception apparatus for television, whether or not incorporating radio-broadcast receivers or sound or video recording or reproducing apparatus: Other, colour: High definition: Projection type, with cathode-ray tube",852872,31,2
8528.72.32,"Monitors and projectors, not incorporating television reception apparatus; reception apparatus for television, whether or not incorporating radio-broadcast receivers or sound or video recording or reproducing apparatus.","Reception apparatus for television, whether or not incorporating radio-broadcast receivers or sound or video recording or reproducing apparatus: Other, colour: High definition: Non-projection type, with cathode-ray tube",852872,32,2
